Rank;Name;Score;Federation;Gender;Rating;TPR;W-We;BH;SB
1;"Leenen, Boyd";6.0;NED;M;2096;2116;+0.13;28.5;23.5
2;"Huang, Vincent";5.0;NED;M;1883;1965;+0.87;29.5;20.75
3;"Lalkota, Sai Pranav Tejas";5.0;NED;M;1849;1928;+0.73;26.5;16.5
4;"Bruls, Sven";4.5;NED;M;1784;1821;+0.44;29.5;16.0
5;"Zhou, Yanyang";4.0;NED;M;1867;1744;-0.75;26.0;10.5
6;"Zhang, Eric";4.0;NED;M;1505;1520;-0.10;23.0; 9.0
7;"Verstegen, Jonas";4.0;NED;M;1830;1718;-0.61;22.5; 9.0
8;"Van Houtert, Lennart";3.5;NED;M;1737;1660;-0.51;28.0;11.0
9;"Methlouthi, Aly";3.5;NED;M;1386;1536;+0.58;24.5; 8.5
10;"Morgan, Finn";3.0;NED;M;0;1335;1335;20.5; 5.0
11;"Lalkota, Srikar";3.0;NED;M;1334;742;-0.78;18.0; 4.5
12;"Leenen, Bing";2.5;NED;M;0;1192;1192;18.5; 4.25
13;"Khuat Duy, Vincent";1.0;NED;M;0;920; 920;22.0; 2.5
