Rank;Name;Score;Federation;Gender;Rating;TPR;W-We;BH;SB
1;"Zhou, Yanyang";5.0;NED;M;1845;2374;+0.94;17.5;17.5
2;"Kruger, Derik";4.0;NED;M;1693;1821;+0.80;15.0;10.0
3;"Plukkel, Guus";4.0;NED;M;1674;1731;+0.45;14.0; 9.0
4;"Penugurti, Advika Satya";3.5;FID;F;1412;1584;+0.80;15.0; 8.5
5;"Pata, Teodor-Stefan";3.5;NED;M;1615;1637;+0.33;14.5; 8.0
6;"Kokkula, Advaith Krishna";3.0;NED;M;1636;1645;+0.16;14.5; 7.0
7;"Methlouthi, Aly";3.0;NED;M;1485;1631;+1.02;14.0; 6.0
8;"Li, Vince";3.0;NED;M;1481;1582;+0.66;13.0; 5.5
9;"Lalkota, Srikar";3.0;NED;M;1228;1581;+2.11;12.0; 6.0
10;"Ng, Thomas";3.0;NED;M;1533;1397;-0.61;12.0; 5.0
11;"Ma, Tim";2.5;NED;M;1990;1697;-1.15;17.0; 5.0
12;"Gafurov, Damir";2.5;NED;M;1524;1364;-0.92;13.5; 5.5
13;"Brik, Yazan";2.0;NED;M;1331;1615;+1.27;18.0; 3.5
14;"Roghair, Tommie";2.0;NED;M;1211;1299;+0.31;14.0; 4.0
15;"Küçük, Çinar";2.0;NED;M;1368;1285;-0.58;14.0; 3.5
16;"Patil, Anay";2.0;NED;M;1686;1284;-2.34;11.5; 2.5
17;"Ding, David";2.0;NED;M;1241;1344;+0.60; 8.0; 2.0
18;"Jin, Hongyi";2.0;NED;M;1390;1274;-0.82; 7.5; 1.0
19;"Knippels, Tim";1.0;NED;M;1405;622;-1.48;14.5; 1.0
20;"Udhaya Kumar, Medhini";1.0;NED;F;1167;693;-0.54;13.0; 2.5
21;"Gang, Luke Wan Cheng";1.0;NED;M;1252;675;-1.01;11.0; 1.5
